#query	kegg_gene_id	KO_id	NAME	ENTRY	DEFINITION	PATHWAY_ID	PATHWAY_DESC	MODULE_ID	MODULE_DESC
gene_id_8230414	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_8351757	sphk:SKP52_24510	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_517408	foh:FORMA_10320	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2755945	paro:CUV01_12210	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8342712	pnp:IJ22_02300	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_4163021	adi:B5T_00721	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1410295	aht:ANTHELSMS3_00166	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8062372	rhb:NY08_1675	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6084579	lul:LPB138_13865	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1443904	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_1434296	bgq:X265_38975	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_1081635	rhb:NY08_3436	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6661818	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8629273	spon:HME9304_01516	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7031306	mur:EQY75_13050	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3639344	suam:BOO69_05895	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5630398	aym:YM304_10220	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_1698239	rut:FIU92_18570	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_8882798	red:roselon_00871	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7145327	rhb:NY08_4523	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_8459740	lul:LPB138_13865	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_724343	suam:BOO69_16800	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4749821	sphk:SKP52_24510	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7310265	rhb:NY08_5228	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_8596019	hmi:soil367_18545	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5861674	pcq:PcP3B5_31900	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3879975	acr:Acry_1262	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_647122	oai:OLEAN_C34450	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7840373	tol:TOL_1175	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9469455	rhb:NY08_1675	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_638189	aht:ANTHELSMS3_00594	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_5822591	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5168696	for:FORMB_10180	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2991757	zal:AZF00_08230	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9323228	ome:OLMES_3728	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_19669	lih:L63ED372_00180	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6055356	gni:GNIT_1689	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_654206	oai:OLEAN_C34350	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2203270	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2954082	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2581428	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8297644	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4221261	oai:OLEAN_C23040	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8914395	rbz:B9057_03540	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2075179	malg:MALG_00119	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2307942	acr:Acry_1262	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5376116	bic:LMTR13_01200	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2632295	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_227802	micc:AUP74_02288	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6720273	brk:CWS35_04795	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_5779335	bro:BRAD285_2373	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_9221732	zal:AZF00_08230	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7976587	ato:CIW82_14915	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_5336579	noj:EJ995_02415	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5868839	malg:MALG_00119	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6915446	rid:RIdsm_00089	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5770212	pap:PSPA7_3808	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1551078	ntr:B0W44_12135	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_6183284	rhz:RHPLAN_35250	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_528882	micc:AUP74_02288	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2986965	dok:MED134_09286	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_987144	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3137244	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5750150	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8130660	gbi:PG2T_01500	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4487140	hhy:Halhy_3303	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4216277	aym:YM304_10220	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_5038081	oai:OLEAN_C34350	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3486301	foh:FORMA_10320	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2478350	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_598225	kan:IMCC3317_29330	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1929156	spse:SULPSESMR1_04191	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3115217	pmk:MDS_1928	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
